id,name,sport,year,brand,setName,source,searchText,displayName
336137,Topps UEFA Club Competitions 1st Edition,Baseball,Unknown,Topps,UEFA Club Competitions 1st Edition,getcardbase,baseball unknown topps uefa club competitions 1st edition,Baseball Unknown Topps UEFA Club Competitions 1st Edition
279925,Turkey Red Cabinets T3,Unknown,Unknown,Unknown,Turkey Red Cabinets T3,getcardbase,unknown unknown unknown turkey red cabinets t3,Unknown Unknown Unknown Turkey Red Cabinets T3
249168,Lion Photo Chicago Cubs,Unknown,Unknown,Unknown,Lion Photo Chicago Cubs,getcardbase,unknown unknown unknown lion photo chicago cubs,Unknown Unknown Unknown Lion Photo Chicago Cubs
254702,McCurdy's Rochester Red Wings,Unknown,Unknown,Unknown,McCurdy's Rochester Red Wings,getcardbase,unknown unknown unknown mccurdy's rochester red wings,Unknown Unknown Unknown McCurdy's Rochester Red Wings
260821,Columbus Jets Photos,Unknown,Unknown,Unknown,Columbus Jets Photos,getcardbase,unknown unknown unknown columbus jets photos,Unknown Unknown Unknown Columbus Jets Photos
267207,TCMA All-Time Seattle Mariners - Color,Unknown,Unknown,Unknown,TCMA All-Time Seattle Mariners - Color,getcardbase,unknown unknown unknown tcma all-time seattle mariners - color,Unknown Unknown Unknown TCMA All-Time Seattle Mariners - Color
165729,Major League Superstars (unlicensed),Unknown,Unknown,Unknown,Major League Superstars (unlicensed),getcardbase,unknown unknown unknown major league superstars (unlicensed),Unknown Unknown Unknown Major League Superstars (unlicensed)
253172,Sports Hobbyist Famous Card Series,Unknown,Unknown,Unknown,Sports Hobbyist Famous Card Series,getcardbase,unknown unknown unknown sports hobbyist famous card series,Unknown Unknown Unknown Sports Hobbyist Famous Card Series
329063,Bowman NPB Nippon Professional Baseball,Baseball,Unknown,Bowman,NPB Nippon Professional,getcardbase,baseball unknown bowman npb nippon professional,Baseball Unknown Bowman NPB Nippon Professional
244447,Best AA All-Stars,Unknown,Unknown,Unknown,Best AA All-Stars,getcardbase,unknown unknown unknown best aa all-stars,Unknown Unknown Unknown Best AA All-Stars
250522,G.S. Gallery All-Time Greats,Unknown,Unknown,Unknown,G.S. Gallery All-Time Greats,getcardbase,unknown unknown unknown g.s. gallery all-time greats,Unknown Unknown Unknown G.S. Gallery All-Time Greats
252427,Jim Rowe Iowa Oaks,Unknown,Unknown,Unknown,Jim Rowe Iowa Oaks,getcardbase,unknown unknown unknown jim rowe iowa oaks,Unknown Unknown Unknown Jim Rowe Iowa Oaks
248352,MSA Super Stars Discs,Unknown,Unknown,Unknown,MSA Super Stars Discs,getcardbase,unknown unknown unknown msa super stars discs,Unknown Unknown Unknown MSA Super Stars Discs
231187,Grandstand Tampa Tarpons,Unknown,Unknown,Unknown,Grandstand Tampa Tarpons,getcardbase,unknown unknown unknown grandstand tampa tarpons,Unknown Unknown Unknown Grandstand Tampa Tarpons
250049,Lite Beer San Diego Padres Tony Gwynn,Unknown,Unknown,Unknown,Lite Beer San Diego Padres Tony Gwynn,getcardbase,unknown unknown unknown lite beer san diego padres tony gwynn,Unknown Unknown Unknown Lite Beer San Diego Padres Tony Gwynn
132736,Topps Philadelphia Phillies,Baseball,Unknown,Topps,Philadelphia Phillies,getcardbase,baseball unknown topps philadelphia phillies,Baseball Unknown Topps Philadelphia Phillies
116995,Leaf Metal All-American Bowl,Unknown,Unknown,Leaf,Metal All-American Bowl,getcardbase,unknown unknown leaf metal all-american bowl,Unknown Unknown Leaf Metal All-American Bowl
532263,Pacific Toronto Fall Expo,Unknown,Unknown,Unknown,Pacific Toronto Fall Expo,getcardbase,unknown unknown unknown pacific toronto fall expo,Unknown Unknown Unknown Pacific Toronto Fall Expo
